报告类型,模板编号,模板名称,电站编码,电站名称,识别别名,模板文件,电站配置,本站维护规则,版本选择,样本期间,模板通用取值规则
定检报告,DJ-01,定检结果版,SZ065,德州保龄宝,SZ065|德州保龄宝|保龄宝|南网德州保龄宝,模板/DJ-01/定检报告模板.docx,电站/SZ065_德州保龄宝/电站配置.json,电站/SZ065_德州保龄宝/AGENTS.md,当前单一登记版本；未来采用规则仍待确认,2026-H1,模板/DJ-01/通用取值规则.json
定检报告,DJ-01,定检结果版,XNY080,中石油济柴,XNY080|中石油济柴|济柴|南网中石油济柴,模板/DJ-01/定检报告模板.docx,电站/XNY080_中石油济柴/电站配置.json,电站/XNY080_中石油济柴/AGENTS.md,必须明确结果版或详细版,2026-H1,模板/DJ-01/通用取值规则.json
定检报告,DJ-02,检查标准＋结果版,XNY080,中石油济柴,XNY080|中石油济柴|济柴|南网中石油济柴,模板/DJ-02/定检报告模板.docx,电站/XNY080_中石油济柴/电站配置.json,电站/XNY080_中石油济柴/AGENTS.md,必须明确结果版或详细版,2026-H1,模板/DJ-02/通用取值规则.json
定检报告,DJ-02,检查标准＋结果版,XNY086,济南迈大,XNY086|济南迈大|济南迈大食品|迈大食品|南网济南迈大食品|迈大,模板/DJ-02/定检报告模板.docx,电站/XNY086_济南迈大/电站配置.json,电站/XNY086_济南迈大/AGENTS.md,当前单一登记版本；未来采用规则仍待确认,2026-H1,模板/DJ-02/通用取值规则.json
定检报告,DJ-01,定检结果版,XNY108,潍坊伊利,XNY108|潍坊伊利|潍坊伊利乳业|南网潍坊伊利乳业|伊利,模板/DJ-01/定检报告模板.docx,电站/XNY108_潍坊伊利/电站配置.json,电站/XNY108_潍坊伊利/AGENTS.md,当前单一登记版本；未来采用规则仍待确认,2026-H1,模板/DJ-01/通用取值规则.json
